id,name,url,description,lat,lon,score,city_id
11,Le Relais Du Roy,"https://www.booking.com/hotel/fr/le-relais-du-roy.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Le Relais Du Roy offers a restaurant and a bar. This 3-star hotel is situated next to the River Couesnon, just 1.5 km from the Mont Saint-Michel and 50 metres from the free shuttle bus.",48.6162627045124,-1.51090577244759,3,1
12,Le Saint Aubert,"https://www.booking.com/hotel/fr/hotel-saint-aubert.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Set amid lush greenery, just 2 km from the Mont Saint-Michel, the hotel welcomes you in a warm and friendly atmosphere.",48.6129378347065,-1.51010513305664,3,1
13,Auberge de la Baie,"https://www.booking.com/hotel/fr/auberge-de-la-baie.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl",This hotel is situated in the countryside of Normandy and offers free Wi-Fi and an on-site restaurant with a terrace.,48.6159931765559,-1.48825317621231,2,1
14,Chambres d'Hôtes Les Vieilles Digues,"https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Set in a renovated Breton-style house, this family-run B&B is located in Beauvoir, 3 km from Mont-Saint-Michel.",48.604187504415,-1.51159912347794,3,1
15,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,"https://www.booking.com/hotel/fr/residence-fleurdumont.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl",Résidence Fleurdumont offers pet-friendly accommodation in Beauvoir. Mont Saint Michel Abbey is 4.4 km away.,48.596482169807,-1.5031469166023,3,1
16,Le Beauvoir,"https://www.booking.com/hotel/fr/le-beauvoir-beauvoir.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl",Le Beauvoir is located just 4 kilometres from Mont Saint Michel and a 20-minute drive from Cancale. It offers free private parking and a restaurant.,48.5977133414835,-1.51309847831726,2,1
17,La Jacotière,"https://www.booking.com/hotel/fr/la-jacotia-re.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Situated in Ardevon, La Jacotière is a B&B set in a renovated farm with a garden and a furnished terrace offering views of the Mont Saint-Michel, just 3 km away. Free Wi-Fi is provided.",48.6141143612392,-1.50431424379349,4,1
18,Hotel Rose,"https://www.booking.com/hotel/fr/gue-de-beauvoir.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Composed of thoughtfully designed independent bungalows and guestrooms in the annex house of a 19th-century building, Hotel Rose offers comfortable accommodation and a peaceful atmosphere.",48.5970623317911,-1.51303946971893,2,1
19,A L'Ombre du Mont St Michel,"https://www.booking.com/hotel/fr/a-l-ombre-du-mont-st-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Offering an outdoor swimming pool and a garden, A L'Ombre du Mont St Michel is a B&B located in the countryside of Huisnes-sur-Mer, just 2 km from the Mont Saint-Michel.",48.6159135362985,-1.46560171660235,3,1
20,Les Valtieres du Mont Saint Michel,"https://www.booking.com/hotel/fr/les-valtieres-du-mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAUjYAQHoAQH4AQuIAgGoAgS4Atfl2oQGwAIB0gIkZGE3NTI0NjAtM2M3Ni00ZTMxLWIzNGItNTY3MTg1NDRhMjlk2AIG4AIB&sid=d95653aaa16af3cbe1e74939ee3e1a42&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&sr_order=popularity&srepoch=1620488920&srpvid=13376f2cb190002a&ucfs=1&from=searchresults
;highlight_room=;spdest=;spdist=#hotelTmpl","Located just 7 km from Mont Saint Michel, Les Valtieres du Mont Saint Michel offers a house with free Wi-Fi access throughout. Avranches is an 18-minute drive away.",48.6223618674134,-1.45227514196449,0,1
